ID,GSM3100217,GSM3100218,GSM3100219,GSM3100220,GSM3100221,GSM3100222,GSM3100223,GSM3100224,GSM3100225,GSM3100226,GSM3100227,GSM3100228,GSM3100229,GSM3100230
ANKRD40,0.02916118,0.05182992,-0.001001918,0.08346344,0.06817005,0.04614835,0.04961945,0.0277866,0.06297636,0.04233491,0.06835899,0.02861971,0.04258484,0.07390796
SLC25A14,-0.130208,-0.04631927,-0.1002325,-0.1892152,-0.1424468,-0.1891741,-0.1802244,-0.1543804,-0.1527727,-0.1622771,-0.09486193,-0.1174734,-0.1039765,-0.1776023
GLIS3,-0.1476119,-0.1350655,-0.100315,-0.3940869,-0.125313,-0.4943442,-0.2575421,-0.5064273,-0.3249918,-0.3206735,-0.1660326,-0.3070284,-0.374347,-0.5040872
RBM25,-0.003449767,-0.05153698,-0.01004357,-0.1427876,-0.02321672,0.03925384,0.05423355,0.02595629,0.0465221,0.04268973,0.000613067,-0.01112105,-0.08934294,-0.0654951
SYDE1,-0.110464,-0.1024352,-0.1004498,-0.1002437,-0.09806522,-0.01322074,-0.02115671,-0.01942249,-0.00822182,-0.02411429,-0.08435569,-0.1049035,-0.1619514,-0.152899
BTRC,-0.07380581,-0.08968423,-0.1004761,-0.09172682,-0.07951908,-0.03602989,-0.09113458,-0.02593021,-0.02560044,-0.06812322,-0.09821572,-0.0552424,-0.08199604,-0.09943282
C19orf10,0.02178286,0.01140583,-0.01004901,0.002828074,-0.01382069,0.03732633,0.06980329,0.03469634,0.0673495,0.03188556,-0.04937719,0.003184792,-0.004388593,-0.04949232
PRRT1,-0.02141315,-0.03212357,-0.1004994,-0.1074513,-0.05080713,0.08064653,0.0691735,0.06640347,0.08962728,0.09044778,0.02314235,-0.02571501,-0.1761186,-0.046185
SHROOM1,0.01960155,0.0069335,-0.001005942,0.06376625,-0.0180222,0.08531601,0.08783357,0.06652569,0.08518683,0.08579452,-0.006497234,0.01274979,-0.08235238,-0.08659937
EPHA3,-0.0918117,0.0327196,-0.1006549,-0.06121493,-0.01565291,-0.1586583,-0.1112046,-0.1432385,-0.1467707,-0.07892346,0.05080392,-0.01084886,0.05343122,-0.06004973
DUSP11,-0.109882,-0.04430738,-0.1006968,-0.1079332,-0.04033515,0.02749782,0.02847832,0.01306047,0.0195973,0.024694,-0.01074967,-0.03033598,-0.05911155,-0.05967933
AGXT2L1,0.0145652,0.03638955,-0.01007551,0.00105316,0.03524498,0.009835719,-0.007208108,-0.002403316,-0.008977083,-0.0130274,0.01054394,0.00320991,0.05077804,0.03521545
GPR155,0.02840502,0.004348798,-0.01007776,-0.04287701,-0.01744157,-0.008387352,0.02156519,-0.03045299,-0.008733652,0.003882605,0.02959802,-0.03441362,-0.004290131,0.03949419
CSTB,-0.0117631,-0.02380212,-0.01007835,-0.04595722,-0.06504561,-0.05569294,-0.03944582,-0.06133711,-0.04175858,-0.08066497,-0.03845914,-0.06924442,0.02993849,-0.01609378
C14orf166B,-0.06074764,-0.06166946,-0.1008155,-0.2283767,-0.09959503,0.06378215,0.04556091,0.02202528,0.06554777,0.04713583,-0.08076628,-0.000614248,-0.2007574,-0.1519048
TMEM164,-0.0701096,0.03270826,-0.1008259,-0.08678824,-0.0379901,-0.2100653,-0.1077651,-0.2089087,-0.1428401,-0.1426895,-0.002062033,-0.1030434,0.01974865,-0.130591
LOC554202,-0.06928271,-0.08384201,-0.01008385,-0.1935264,-0.1414207,-0.2724413,-0.1679243,-0.2285978,-0.1505612,-0.2007013,-0.1183798,-0.145265,-0.193917,-0.2816994
FGL1,-0.07980206,0.009572707,-0.1008434,-0.2083948,-0.0210195,-0.1935626,-0.1342364,-0.2540364,-0.1173686,-0.1279515,0.02230983,-0.0749761,-0.02735166,-0.1244745
USP9X,-0.0732574,-0.05668216,-0.1008893,-0.1074501,-0.08216748,-0.1221323,-0.07660964,-0.1390442,-0.06841481,-0.08796673,-0.03774311,-0.08843159,-0.1407904,-0.1867468
SEPW1,-0.02998984,-0.07569808,-0.1009059,-0.06623514,-0.05788593,0.04226276,0.05528678,0.01918016,0.06565711,0.01965151,-0.03564379,-0.03424452,-0.136141,-0.0863004
STRA6,-0.08239815,-0.07832001,-0.1009264,-0.1172141,-0.07917271,0.04908615,0.01480535,0.04917306,0.07582792,0.02234317,-0.1150585,-0.004656203,-0.1241234,-0.07967743
GSTM5,-0.1215056,-0.07816798,-0.1009545,-0.08489071,-0.04093341,-0.1072977,-0.0734943,-0.06635402,-0.09214052,-0.07512739,-0.09366379,-0.1199225,-0.05450155,-0.1207011
C11orf82,-0.09458129,-0.1098365,-0.1009691,-0.1119204,-0.1462311,-0.08733756,-0.08053677,-0.0186963,-0.04318226,-0.0133053,-0.04010392,-0.07058231,-0.2374237,-0.1915263
HDGFRP3,0.01454017,0.000694126,-1.01E-05,-0.02355978,0.03597574,-0.01272321,0.008926265,0.005422543,-0.02917051,0.02752973,-0.02557716,0.009468447,0.0296108,0.03742633
TTLL1,0.001817055,-0.01708298,-0.01010028,0.06290475,-0.00415938,0.0679657,0.08139779,0.04300532,0.07346518,0.06051567,0.02055359,-0.05822313,-0.06240745,-0.03764187
TXNDC16,-0.03207096,-0.05487764,-0.1010796,-0.1833164,-0.07099182,0.06757217,0.03573906,0.06781489,0.06480318,0.03170186,0.0109214,0.01932603,-0.1443833,-0.06524562
SEC62,-0.01941185,-0.07297726,-0.10112,-0.004716724,-0.06959766,0.01044762,-0.01531275,-0.009031794,-0.002231665,0.02001926,0.008815419,0.04413424,-0.1182314,-0.02424443
ARHGEF2,-0.04507158,-0.02879819,-0.1011721,-0.06844613,-0.05107254,0.03804019,0.04753936,0.08649991,0.048278,0.08210972,0.02127265,-0.03980546,-0.0864979,-0.03133906
MOSPD3,-0.06775977,-0.08808663,-0.01012082,0.0129399,-0.03720658,0.1250546,0.04347825,0.09657531,0.05506218,0.02897544,-0.03661442,0.08276663,0.05095242,0.1078794
PSMB10,-0.01027487,0.04646604,-0.01013113,0.000815273,0.02636678,-0.02169188,-0.002644969,-0.01201466,-0.02967689,-0.1011741,-0.02630704,-0.009089426,0.06964199,0.03057945
MAP3K15,-0.06531551,0.03120375,-0.1013561,-0.0632533,-0.05107429,-0.2022148,-0.07930497,-0.1952899,-0.1016928,-0.1308684,-0.07576107,-0.05969852,-0.01915089,-0.06231088
L1CAM,-0.07593199,0.005970796,-0.1014137,-0.04330897,-0.08230579,-0.0591421,0.04944393,-0.08280264,0.01888224,0.03106077,0.07133304,-0.1238948,-0.1587033,-0.2215096
KIAA1370,-0.00527481,-0.0146241,-0.01014468,-0.05143865,-0.001967861,-0.03973962,-0.01672019,-0.04399408,-0.07536785,-0.04303344,-0.01335043,-0.07411488,-0.02694539,-0.006536027
SERPINB8,-0.06281135,-0.06716052,-0.01014591,0.03086349,-0.01644104,0.02066932,0.03941146,0.03392537,0.02072281,0.007928397,0.003169377,-0.08277977,-0.03270154,-0.02357741
TIMM8B,-0.09222755,-0.09580669,-0.1014601,-0.1183724,-0.08746497,-0.0267082,-0.04714507,0.04240755,-0.000389863,-0.02631124,-0.06298351,-0.04551821,-0.1078051,-0.1230888
CSK,0.006122074,0.01139645,-0.01014861,-0.06374334,-0.001375388,0.1035562,0.05350151,0.09443778,0.06989909,0.1147214,0.2080158,0.1032482,-0.03994425,0.04244877
NCOA2,-0.09663085,-0.08801543,-0.1014961,-0.05026099,-0.09442404,-0.04905214,-0.02665087,-0.07150759,-0.03871016,-0.03925329,-0.06974117,-0.04360608,-0.0886178,-0.1047449
COX7B,-0.09376518,0.03237901,-0.1015115,-0.07786661,-0.07316373,-0.1934359,-0.06297415,-0.2419182,-0.1430648,-0.150627,0.006948516,-0.07170086,-0.002058725,-0.1342808
CD28,-0.03650642,-0.1212692,-0.101609,-0.1364069,-0.0949928,-0.05292235,-0.03793942,-0.04729923,-0.01849625,-0.05728116,-0.07718353,-0.08924438,-0.07123204,-0.04244538
MOBP,-0.1107114,-0.02845302,-0.1016145,-0.06304556,-0.06635778,-0.1617609,-0.09838413,-0.09610899,-0.07913911,-0.1133705,-0.04222261,-0.07725637,-0.07814583,-0.1650239
C17orf61,-0.03323112,-0.05401579,-0.01016185,0.002540199,-0.01969376,0.02650693,0.01769247,0.02899474,-0.07738889,-0.1237114,-0.04942462,0.06648978,0.00819195,0.06315713
PPP2R5D,-0.07816996,-0.07762593,-0.1016412,-0.1088908,-0.09539953,0.02207965,0.03844749,0.01418741,0.04450633,0.02208924,-0.09112007,-0.05093161,-0.1613427,-0.1143227
ASCC3,-0.1311383,-0.001494976,-0.1016749,-0.07591952,-0.08081229,-0.1613285,-0.1068333,-0.1825016,-0.08774573,-0.1113015,0.01631335,-0.07679236,-0.1061585,-0.1565064
ENPP6,-0.03565492,0.002486841,-0.01017486,-0.0219503,-0.01729937,0.05096506,0.03485073,0.04591482,0.04777129,0.04583373,-0.04864728,0.04376837,-0.03668329,-0.01905359
POU2F1,-0.08720317,-0.0806763,-0.101782,-0.1407429,-0.08824304,-0.01139312,-0.06219747,-0.01930924,-0.01735989,-0.04302554,-0.1019921,-0.04494992,-0.1364486,-0.1065116
LPCAT4,-0.02281315,-0.04182227,-0.1018088,-0.09798585,-0.03420416,0.05982177,0.05522544,0.07684403,0.03778034,0.06287587,-0.001591306,0.001039892,-0.1230466,-0.01066964
FSIP1,-0.03080522,-0.06937137,-0.01018817,-0.05536907,-0.04985239,-0.01627306,-0.02868463,-0.01363818,-0.003545479,-0.05300684,0.01077004,0.04806226,0.01207769,-0.005678437
TRIM55,-0.03411023,0.02009992,-0.101949,-0.03050442,-0.08527921,0.0561358,0.05741019,0.002122545,0.0224227,0.04037966,0.006894869,-0.09208526,-0.14466,-0.1259487
P2RY4,-0.04959399,-0.02906746,-0.1019973,-0.02368027,-0.07334845,0.008292758,0.04492072,-0.02174487,0.03289323,0.04445747,0.1059775,-0.05946346,-0.1611117,-0.1677239
COL13A1,-0.07816448,-0.1031769,-0.1020395,-0.1348856,-0.07227482,-0.02184317,-0.03514154,-0.0534221,-0.0173691,-0.006202276,-0.1208957,-0.06402039,-0.1071777,-0.1025281
FMR1NB,-0.08594612,0.01621045,-0.1021707,-0.03060988,-0.06309216,-0.1524136,-0.08988129,-0.1395085,-0.0863195,-0.1111363,-0.06199481,-0.06123502,-0.02884123,-0.1084168
MPP1,-0.06869004,0.03196198,-0.1021718,-0.0686144,-0.09470012,-0.1352203,-0.03126624,-0.1641146,-0.05390887,-0.03654284,0.002022173,-0.06668736,-0.1154584,-0.1889936
LOC284798,-0.1144592,-0.1451844,-0.1021872,-0.07051521,-0.1240976,-0.1620187,-0.201472,-0.1365544,-0.2044005,-0.1607781,-0.1558147,-0.1711933,-0.03458254,-0.1620282
SYT12,-0.01323705,-0.03580304,-0.1022545,-0.0272821,-0.02949264,0.04059022,0.06063177,0.08051048,0.07860565,0.053066,-0.04768971,0.04594119,-0.08362868,-0.0143722
ADPRH,-0.03453825,-0.06029829,-0.01022983,-0.01817902,-0.1001851,-0.01265039,-0.04917182,0.007932095,0.000769739,-0.009381599,-0.05198523,-0.05629953,-0.05398119,-0.09635457
TEAD4,0.07534959,-0.02880785,-0.001023687,0.1188266,0.09211961,0.03043087,-0.0138267,-0.04764616,-0.000774785,0.002468318,0.02125903,0.06824238,0.09117014,0.09201231
PSEN1,-0.05679333,-0.07819518,-0.1023761,-0.1977506,-0.05318007,0.01519473,0.004415871,-0.02959691,0.0173071,0.004922619,-0.02678914,-0.05991131,-0.1605813,-0.09553526
IQGAP1,-0.09445947,-0.1062836,-0.1023807,-0.1202693,-0.1335833,-0.03651708,-0.06870419,-0.04784842,-0.04544836,-0.06743619,-0.1287626,-0.1142754,-0.09897632,-0.1610335
EIF2C2,-0.01989201,0.04075078,-0.1023861,-0.05584538,-0.01621505,0.04637537,0.0447235,0.07847384,0.08332705,0.03273931,-0.0659955,0.1080138,-0.1051692,-0.05714893
PMFBP1,-0.078139,-0.09328194,-0.1024975,-0.1186437,-0.08405432,0.0156777,-0.02408747,0.03324779,0.03837059,-0.1254147,-0.1706319,-0.02901463,-0.1199373,-0.1112358
LRCH2,-0.1438343,0.09352408,-0.1025074,-0.1031128,-0.05388081,-0.2205479,-0.1129039,-0.2079144,-0.1356154,-0.112499,0.03954246,-0.06386112,-0.01367453,-0.1350505
SLC25A16,0.003271276,0.0320212,-0.01025315,-0.02820632,0.01969607,-0.008603463,-0.000712262,-0.03427458,-0.02069587,-0.03397131,0.04406005,0.03896066,0.05840804,0.0531924
POLR2I,-0.06451575,-0.02823338,-0.1025489,-0.07896633,-0.06779692,0.04690766,0.02754725,0.04651181,0.08712677,0.05442993,0.1209565,0.06766269,-0.08690357,-0.07292288
ARMC1,-0.06595845,0.003766797,-0.1026003,-0.01624442,-0.08485093,0.01553771,-0.001290144,-0.02017313,-0.01728376,0.006781148,0.05562563,-0.0594713,-0.1115688,-0.07284019
SEMA4B,-0.0350211,-0.0204639,-0.01026497,-0.02868814,-0.03072398,-0.05728961,-0.04097687,-0.04296295,-0.06603983,-0.01769772,-0.009814166,-0.01096731,0.0760873,0.04705955
DGCR6L,-0.06774962,-0.08564784,-0.1027119,-0.0033587,-0.08391676,0.07444563,0.06636734,0.03997683,0.075724,0.05466719,-0.01965191,-0.05745268,-0.1704145,-0.1105206
PAQR3,-0.0214792,-0.08920642,-0.0102782,-0.02095401,-0.0433978,-0.0306285,-0.0384172,-0.05518518,-0.02887536,-0.03557345,0.000712668,-0.08465866,-0.002824997,-0.04691051
